SAMPID  ,   SMATSSCR  ,  SMCENTER  ,  SMPTHNTS  ,  SMRIN
GTEX-NPJ7-1326-SM-3MJHO  ,   1  ,  D1  ,  One  ,  of
GTEX-NPJ7-1726-SM-2QU3I  ,   1  ,  D1  ,  Nerve  ,  tissue
GTEX-NPJ7-1726-SM-2YUNA  ,   1  ,  D1  ,  Nerve  ,  tissue
GTEX-NPJ7-2726-SM-2AXTV  ,   1  ,  D1  ,  OK  ,  for
GTEX-NPJ7-2726-SM-2I3FT  ,   1  ,  D1  ,  OK  ,  for
GTEX-NPJ7-2826-SM-2AXTW  ,   1  ,  D1  ,  OK  ,  for
GTEX-NPJ7-2826-SM-2I3FU  ,   1  ,  D1  ,  OK  ,  for
GTEX-NPJ7-2926-SM-3MJGQ  ,   1  ,  D1  ,  Mild  ,  autolysis
GTEX-NPJ8-0004-SM-2BWYM  ,   D1  ,  Blood  ,  Whole  ,  Blood
GTEX-NPJ8-0004-SM-2XK1F  ,   D1  ,  Blood  ,  Whole  ,  Blood
GTEX-NPJ8-0007-SM-26GMF  ,   D1  ,  5.5  ,  Blood  ,  Whole
GTEX-NPJ8-0007-SM-26GMW  ,   D1  ,  5.5  ,  Blood  ,  Whole
GTEX-NPJ8-0007-SM-2D43F  ,   D1  ,  5.5  ,  Blood  ,  Whole
GTEX-NPJ8-0007-SM-2D7VX  ,   D1  ,  5.5  ,  Blood  ,  Whole
GTEX-NPJ8-0011-R10A-SM-2QU5B  ,   D1,  ,  A1  ,  7.8  ,  Brain
GTEX-NPJ8-0011-R10A-SM-2YUMO  ,   D1,  ,  A1  ,  7.8  ,  Brain
GTEX-NPJ8-0011-R11A-SM-2QU5D  ,   D1,  ,  A1  ,  7.8  ,  Brain
GTEX-NPJ8-0011-R11A-SM-2YUMS  ,   D1,  ,  A1  ,  7.8  ,  Brain
GTEX-NPJ8-0011-R1a-SM-2AXVF  ,   D1,  ,  A1  ,  6.6  ,  Brain
GTEX-NPJ8-0011-R1a-SM-2HMLC  ,   D1,  ,  A1  ,  6.6  ,  Brain
GTEX-NPJ8-0011-R1a-SM-33HCB  ,   D1,  ,  A1  ,  6.6  ,  Brain
GTEX-NPJ8-0011-R2a-SM-2AXV6  ,   D1,  ,  A1  ,  5.9  ,  Brain
GTEX-NPJ8-0011-R2a-SM-2TC6M  ,   D1,  ,  A1  ,  5.9  ,  Brain
GTEX-NPJ8-0011-R3a-SM-2AXWE  ,   D1,  ,  A1  ,  7.3  ,  Brain
GTEX-NPJ8-0011-R3a-SM-2HMIW  ,   D1,  ,  A1  ,  7.3  ,  Brain
GTEX-NPJ8-0011-R4a-SM-2AXW8  ,   D1,  ,  A1  ,  6.5  ,  Brain
